plant_type,location,sunlight,soil_type,soil_moisture,nitrogen,phosphorus,potassium,soil_ph,recommended_fertilizer
Herb,Balcony,Medium,Clay,Medium,64,66,70,6.4,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,Low,Loamy,Medium,33,23,57,6.8,Nitrogen Rich
Indoor Plant,Balcony,Low,Sandy,High,50,52,78,7.1,Liquid Fertilizer
Flower Plant,Indoor,High,Sandy,Low,24,58,24,6.7,Nitrogen Rich
Flower Plant,Outdoor Garden,Low,Loamy,High,58,22,59,5.2,Phosphorus Rich
Leafy Ornamental,Balcony,Medium,Loamy,High,65,40,35,5.7,Nitrogen Rich
Flower Plant,Balcony,Medium,Clay,Low,20,49,59,7.5,Nitrogen Rich
Indoor Plant,Indoor,High,Loamy,High,36,28,79,5.9,Phosphorus Rich
Indoor Plant,Rooftop,Medium,Clay,Low,48,73,54,6.8,Liquid Fertilizer
Succulent,Indoor,High,Clay,High,26,80,76,5.3,Nitrogen Rich
Indoor Plant,Indoor,High,Loamy,Medium,38,58,33,6.8,Balanced NPK
Flower Plant,Balcony,High,Potting Mix,Medium,77,78,74,5.1,Bone Meal
Leafy Ornamental,Outdoor Garden,Medium,Sandy,Low,41,69,28,6.6,Balanced NPK
Vegetable Plant,Rooftop,High,Potting Mix,High,65,47,55,5.0,Vermicompost
Indoor Plant,Rooftop,High,Sandy,Medium,57,55,29,6.1,Balanced NPK
Indoor Plant,Balcony,Medium,Sandy,Medium,33,63,35,6.7,Nitrogen Rich
Vegetable Plant,Outdoor Garden,High,Loamy,Low,75,30,71,7.0,Phosphorus Rich
Herb,Indoor,Low,Clay,Medium,71,62,75,6.8,Nitrogen Rich
Flower Plant,Balcony,Low,Sandy,Medium,75,22,74,6.2,Phosphorus Rich
Flower Plant,Outdoor Garden,Medium,Clay,Low,34,21,62,5.5,Nitrogen Rich
Vegetable Plant,Balcony,Low,Clay,Medium,61,52,45,6.7,Balanced NPK
Succulent,Balcony,Low,Sandy,Medium,31,57,36,5.1,Nitrogen Rich
Succulent,Outdoor Garden,Medium,Clay,Medium,58,52,27,6.0,Balanced NPK
Succulent,Rooftop,Medium,Sandy,High,47,20,53,7.3,Phosphorus Rich
Succulent,Rooftop,Medium,Potting Mix,Low,80,62,78,5.8,Compost
Vegetable Plant,Indoor,High,Clay,High,39,62,46,5.8,Balanced NPK
Leafy Ornamental,Balcony,High,Loamy,Low,46,62,80,5.9,Nitrogen Rich
Leafy Ornamental,Rooftop,High,Clay,Medium,55,73,20,5.8,Balanced NPK
Flower Plant,Outdoor Garden,High,Clay,Medium,48,48,63,5.5,Bone Meal
Herb,Rooftop,High,Sandy,Medium,52,62,60,6.5,Nitrogen Rich
Indoor Plant,Rooftop,High,Clay,Low,71,32,29,5.1,Phosphorus Rich
Flower Plant,Outdoor Garden,High,Sandy,Medium,46,76,60,6.4,Bone Meal
Leafy Ornamental,Outdoor Garden,Medium,Potting Mix,Low,29,61,64,5.0,Nitrogen Rich
Indoor Plant,Outdoor Garden,Low,Loamy,High,53,49,23,6.4,Balanced NPK
Indoor Plant,Outdoor Garden,Low,Potting Mix,High,53,55,58,5.8,Liquid Fertilizer
Herb,Outdoor Garden,High,Potting Mix,Low,67,75,50,6.1,Nitrogen Rich
Flower Plant,Balcony,High,Potting Mix,High,35,37,48,5.2,Bone Meal
Vegetable Plant,Rooftop,Medium,Clay,Medium,77,54,25,5.3,Balanced NPK
Flower Plant,Outdoor Garden,High,Loamy,High,33,24,46,6.0,Nitrogen Rich
Succulent,Outdoor Garden,Medium,Sandy,Low,73,46,44,7.3,Compost
Succulent,Indoor,High,Potting Mix,Medium,20,80,42,5.7,Nitrogen Rich
Herb,Outdoor Garden,High,Loamy,Medium,34,37,47,6.2,Nitrogen Rich
Herb,Balcony,High,Potting Mix,High,30,73,49,7.3,Nitrogen Rich
Succulent,Indoor,Medium,Sandy,Low,61,47,28,7.2,Balanced NPK
Flower Plant,Indoor,Medium,Potting Mix,Medium,33,49,40,5.8,Nitrogen Rich
Herb,Balcony,Medium,Clay,Low,50,21,67,6.3,Phosphorus Rich
Vegetable Plant,Rooftop,High,Sandy,High,22,68,21,7.4,Nitrogen Rich
Flower Plant,Indoor,High,Loamy,Low,28,50,62,5.3,Nitrogen Rich
Flower Plant,Outdoor Garden,High,Clay,Medium,30,58,58,7.4,Nitrogen Rich
Leafy Ornamental,Indoor,Low,Clay,Low,57,21,79,5.8,Phosphorus Rich
Leafy Ornamental,Outdoor Garden,Medium,Loamy,Low,57,64,73,6.6,Nitrogen Rich
Indoor Plant,Balcony,High,Sandy,High,70,22,42,6.3,Phosphorus Rich
Leafy Ornamental,Balcony,Low,Clay,Low,74,46,72,6.2,Nitrogen Rich
Herb,Balcony,High,Potting Mix,High,29,47,31,6.8,Nitrogen Rich
Leafy Ornamental,Balcony,High,Potting Mix,Medium,47,72,66,6.5,Nitrogen Rich
Vegetable Plant,Rooftop,Low,Clay,Medium,35,68,49,6.4,Balanced NPK
Leafy Ornamental,Outdoor Garden,Medium,Sandy,Medium,74,40,31,6.2,Balanced NPK
Vegetable Plant,Balcony,Medium,Clay,High,64,76,37,6.4,Balanced NPK
Succulent,Rooftop,Low,Loamy,High,46,51,55,6.9,Compost
Leafy Ornamental,Outdoor Garden,High,Potting Mix,Medium,70,21,25,5.7,Phosphorus Rich
Herb,Rooftop,Medium,Clay,Medium,55,53,42,6.1,Nitrogen Rich
Leafy Ornamental,Balcony,Medium,Potting Mix,Medium,39,36,34,5.3,Balanced NPK
Flower Plant,Balcony,Low,Loamy,Low,33,67,50,5.7,Nitrogen Rich
Succulent,Balcony,Low,Loamy,Medium,34,43,31,5.8,Nitrogen Rich
Leafy Ornamental,Rooftop,Medium,Sandy,Low,55,38,64,7.4,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,Low,Sandy,High,38,50,50,6.1,Nitrogen Rich
Flower Plant,Indoor,Medium,Potting Mix,Low,72,24,45,6.2,Phosphorus Rich
Succulent,Indoor,Low,Loamy,High,80,39,25,7.5,Balanced NPK
Indoor Plant,Outdoor Garden,High,Loamy,High,44,48,78,6.1,Liquid Fertilizer
Succulent,Outdoor Garden,Medium,Sandy,High,67,26,80,6.9,Phosphorus Rich
Leafy Ornamental,Rooftop,Medium,Sandy,Low,35,31,55,5.2,Phosphorus Rich
Indoor Plant,Outdoor Garden,Medium,Potting Mix,Medium,22,34,38,6.8,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,Low,Loamy,Medium,70,70,60,6.5,Nitrogen Rich
Flower Plant,Outdoor Garden,Low,Loamy,High,29,78,37,7.1,Nitrogen Rich
Indoor Plant,Indoor,Low,Clay,High,67,72,56,7.3,Liquid Fertilizer
Herb,Indoor,Medium,Clay,High,45,80,37,6.3,Nitrogen Rich
Herb,Outdoor Garden,Low,Sandy,Medium,67,40,58,5.6,Nitrogen Rich
Indoor Plant,Rooftop,High,Sandy,High,72,37,56,5.1,Liquid Fertilizer
Flower Plant,Outdoor Garden,High,Potting Mix,Medium,31,57,47,6.6,Nitrogen Rich
Herb,Indoor,Medium,Clay,Medium,41,40,62,5.3,Nitrogen Rich
Flower Plant,Balcony,Medium,Potting Mix,Medium,62,80,45,7.0,Bone Meal
Succulent,Indoor,Medium,Sandy,Medium,36,40,27,7.4,Balanced NPK
Herb,Indoor,High,Potting Mix,Medium,23,32,53,5.9,Nitrogen Rich
Herb,Outdoor Garden,Low,Loamy,Medium,55,28,79,5.7,Phosphorus Rich
Leafy Ornamental,Outdoor Garden,Low,Sandy,High,58,71,35,6.8,Nitrogen Rich
Vegetable Plant,Indoor,High,Potting Mix,Low,34,73,78,5.3,Nitrogen Rich
Indoor Plant,Rooftop,Medium,Clay,High,65,37,46,7.1,Liquid Fertilizer
Herb,Rooftop,Medium,Loamy,Medium,32,78,58,6.3,Nitrogen Rich
Flower Plant,Indoor,Medium,Potting Mix,Medium,79,70,52,5.7,Bone Meal
Indoor Plant,Balcony,High,Clay,High,57,62,51,7.2,Liquid Fertilizer
Herb,Outdoor Garden,Medium,Clay,High,68,54,44,6.1,Nitrogen Rich
Vegetable Plant,Rooftop,High,Loamy,High,44,34,74,6.9,Phosphorus Rich
Indoor Plant,Balcony,High,Potting Mix,High,78,71,44,6.0,Liquid Fertilizer
Leafy Ornamental,Rooftop,Medium,Sandy,Low,52,57,41,7.2,Nitrogen Rich
Herb,Indoor,High,Potting Mix,Low,66,29,46,7.2,Phosphorus Rich
Flower Plant,Indoor,Medium,Clay,Medium,59,64,45,6.6,Bone Meal
Vegetable Plant,Outdoor Garden,Medium,Potting Mix,High,22,59,24,5.6,Nitrogen Rich
Leafy Ornamental,Balcony,Low,Sandy,Medium,26,68,60,6.8,Nitrogen Rich
Indoor Plant,Outdoor Garden,Low,Clay,Low,22,40,70,5.1,Nitrogen Rich
Vegetable Plant,Balcony,Medium,Loamy,Low,53,46,56,6.7,Balanced NPK
Flower Plant,Rooftop,Low,Sandy,High,75,44,59,6.7,Bone Meal
Herb,Rooftop,Low,Potting Mix,High,36,49,36,6.7,Nitrogen Rich
Herb,Balcony,High,Loamy,Low,48,80,42,7.5,Nitrogen Rich
Vegetable Plant,Outdoor Garden,High,Clay,Medium,74,39,32,7.5,Balanced NPK
Herb,Indoor,Low,Potting Mix,High,42,56,38,7.5,Nitrogen Rich
Vegetable Plant,Indoor,High,Potting Mix,Medium,20,56,75,6.7,Nitrogen Rich
Leafy Ornamental,Indoor,High,Potting Mix,Medium,69,71,34,6.5,Balanced NPK
Vegetable Plant,Rooftop,High,Loamy,High,36,63,68,6.8,Balanced NPK
Leafy Ornamental,Rooftop,High,Sandy,High,61,22,39,7.0,Phosphorus Rich
Indoor Plant,Balcony,High,Loamy,Low,78,38,40,6.9,Liquid Fertilizer
Flower Plant,Rooftop,Low,Clay,High,52,78,37,7.1,Bone Meal
Vegetable Plant,Outdoor Garden,Medium,Clay,Low,49,24,29,6.9,Phosphorus Rich
Flower Plant,Outdoor Garden,High,Clay,Low,70,45,20,5.7,Balanced NPK
Indoor Plant,Outdoor Garden,Medium,Clay,High,44,72,60,7.4,Liquid Fertilizer
Indoor Plant,Rooftop,Medium,Sandy,High,76,80,55,5.8,Liquid Fertilizer
Succulent,Rooftop,High,Sandy,High,72,49,78,6.8,Compost
Leafy Ornamental,Outdoor Garden,Low,Loamy,Low,80,22,39,7.5,Phosphorus Rich
Indoor Plant,Indoor,Low,Loamy,Medium,49,43,62,7.4,Liquid Fertilizer
Leafy Ornamental,Outdoor Garden,High,Loamy,Medium,61,26,73,6.2,Phosphorus Rich
Herb,Balcony,Low,Clay,Low,48,48,80,5.6,Nitrogen Rich
Vegetable Plant,Indoor,High,Clay,High,77,61,42,5.2,Vermicompost
Vegetable Plant,Rooftop,Low,Potting Mix,Low,62,33,61,6.6,Phosphorus Rich
Indoor Plant,Indoor,Medium,Loamy,Low,70,56,33,5.2,Balanced NPK
Succulent,Rooftop,High,Loamy,Low,41,69,29,7.0,Balanced NPK
Succulent,Indoor,Medium,Loamy,Low,54,36,71,5.4,Compost
Leafy Ornamental,Indoor,Low,Sandy,Medium,70,70,35,6.5,Nitrogen Rich
Indoor Plant,Rooftop,Medium,Sandy,Low,67,46,53,5.3,Liquid Fertilizer
Indoor Plant,Outdoor Garden,Medium,Clay,High,57,26,48,6.3,Phosphorus Rich
Succulent,Indoor,High,Clay,Medium,61,21,23,7.5,Phosphorus Rich
Herb,Outdoor Garden,High,Sandy,Medium,65,78,48,5.2,Nitrogen Rich
Indoor Plant,Balcony,High,Loamy,Low,28,37,59,6.6,Nitrogen Rich
Succulent,Balcony,Medium,Clay,Medium,52,58,47,5.2,Compost
Leafy Ornamental,Indoor,High,Loamy,Medium,48,76,34,6.0,Balanced NPK
Herb,Outdoor Garden,Medium,Sandy,Medium,47,40,62,5.6,Nitrogen Rich
Flower Plant,Outdoor Garden,Low,Sandy,Low,25,47,26,6.9,Nitrogen Rich
Vegetable Plant,Rooftop,High,Sandy,High,55,55,41,6.7,Balanced NPK
Herb,Balcony,High,Potting Mix,High,23,38,58,5.8,Nitrogen Rich
Indoor Plant,Rooftop,Low,Potting Mix,Low,74,26,42,7.1,Phosphorus Rich
Vegetable Plant,Indoor,Medium,Loamy,Medium,74,55,69,7.0,Balanced NPK
Succulent,Indoor,High,Clay,Low,31,37,64,6.9,Nitrogen Rich
Vegetable Plant,Balcony,Low,Loamy,Low,56,62,45,5.2,Vermicompost
Leafy Ornamental,Indoor,Low,Loamy,Medium,46,49,41,5.4,Nitrogen Rich
Vegetable Plant,Balcony,High,Sandy,Low,29,30,68,6.5,Nitrogen Rich
Leafy Ornamental,Indoor,Medium,Potting Mix,High,47,51,58,6.1,Nitrogen Rich
Vegetable Plant,Rooftop,High,Sandy,Medium,47,27,38,6.7,Phosphorus Rich
Succulent,Outdoor Garden,High,Clay,Low,34,45,58,5.1,Nitrogen Rich
Flower Plant,Balcony,Low,Loamy,Medium,38,40,27,5.0,Balanced NPK
Leafy Ornamental,Outdoor Garden,Low,Loamy,Medium,54,65,34,6.3,Balanced NPK
Leafy Ornamental,Balcony,Low,Potting Mix,High,22,47,21,6.1,Nitrogen Rich
Indoor Plant,Balcony,High,Potting Mix,High,45,65,60,6.0,Liquid Fertilizer
Indoor Plant,Outdoor Garden,Low,Clay,Low,71,80,59,6.2,Liquid Fertilizer
Leafy Ornamental,Balcony,Low,Potting Mix,Low,35,47,57,6.0,Nitrogen Rich
Indoor Plant,Outdoor Garden,Medium,Clay,Low,41,69,30,5.2,Balanced NPK
Leafy Ornamental,Indoor,High,Loamy,Medium,42,66,72,6.6,Nitrogen Rich
Flower Plant,Rooftop,Low,Loamy,Medium,32,31,58,5.4,Nitrogen Rich
Leafy Ornamental,Indoor,Low,Potting Mix,Medium,68,56,68,6.4,Nitrogen Rich
Leafy Ornamental,Balcony,High,Clay,Low,48,24,50,6.1,Phosphorus Rich
Vegetable Plant,Balcony,High,Sandy,Medium,52,24,39,6.2,Phosphorus Rich
Indoor Plant,Indoor,Medium,Clay,Low,61,75,74,5.2,Liquid Fertilizer
Succulent,Outdoor Garden,Medium,Sandy,Medium,78,71,56,6.6,Compost
Vegetable Plant,Outdoor Garden,High,Loamy,Low,48,26,71,7.2,Phosphorus Rich
Vegetable Plant,Indoor,High,Loamy,Low,35,65,48,7.5,Balanced NPK
Succulent,Rooftop,Medium,Clay,Medium,44,46,69,5.8,Compost
Succulent,Indoor,High,Clay,Low,41,26,55,6.7,Phosphorus Rich
Vegetable Plant,Balcony,High,Loamy,Medium,25,57,62,5.4,Nitrogen Rich
Vegetable Plant,Balcony,High,Potting Mix,Low,58,65,80,5.2,Vermicompost
Succulent,Outdoor Garden,High,Clay,Low,62,64,73,7.4,Compost
Leafy Ornamental,Indoor,High,Potting Mix,High,43,21,43,5.8,Phosphorus Rich
Flower Plant,Balcony,Medium,Loamy,Low,28,29,24,5.7,Nitrogen Rich
Indoor Plant,Indoor,High,Clay,High,28,58,44,5.4,Nitrogen Rich
Flower Plant,Rooftop,High,Potting Mix,Low,46,43,63,6.8,Bone Meal
Herb,Balcony,High,Potting Mix,Low,54,35,39,7.4,Nitrogen Rich
Herb,Rooftop,Medium,Potting Mix,Medium,69,38,69,6.0,Nitrogen Rich
Succulent,Outdoor Garden,Low,Loamy,High,28,75,36,5.1,Nitrogen Rich
Herb,Balcony,High,Sandy,High,74,53,74,5.3,Nitrogen Rich
Indoor Plant,Rooftop,Medium,Potting Mix,High,29,73,47,5.2,Nitrogen Rich
Flower Plant,Outdoor Garden,Medium,Sandy,Medium,23,45,52,5.9,Nitrogen Rich
Herb,Indoor,Medium,Loamy,Low,40,79,26,7.1,Balanced NPK
Leafy Ornamental,Balcony,Low,Loamy,Low,38,78,73,6.2,Nitrogen Rich
Flower Plant,Outdoor Garden,Medium,Sandy,Low,21,36,33,7.1,Nitrogen Rich
Succulent,Outdoor Garden,Low,Clay,Low,39,27,23,5.6,Phosphorus Rich
Leafy Ornamental,Outdoor Garden,Low,Sandy,Medium,58,54,21,6.6,Balanced NPK
Succulent,Rooftop,High,Loamy,Medium,47,20,59,5.9,Phosphorus Rich
Succulent,Outdoor Garden,Low,Sandy,High,43,24,53,6.4,Phosphorus Rich
Succulent,Indoor,Medium,Potting Mix,Low,60,44,43,5.6,Compost
Indoor Plant,Balcony,Low,Clay,Low,66,62,60,5.3,Liquid Fertilizer
Succulent,Balcony,Low,Sandy,Medium,54,41,72,6.6,Compost
Leafy Ornamental,Outdoor Garden,High,Potting Mix,High,31,71,28,5.2,Nitrogen Rich
Herb,Indoor,Medium,Loamy,Low,70,32,76,5.1,Phosphorus Rich
Vegetable Plant,Outdoor Garden,High,Potting Mix,Medium,22,68,61,5.5,Nitrogen Rich
Vegetable Plant,Indoor,High,Clay,Medium,27,71,43,6.1,Nitrogen Rich
Herb,Outdoor Garden,Medium,Clay,Low,51,64,51,5.9,Nitrogen Rich
Succulent,Balcony,Low,Potting Mix,Low,47,58,72,5.5,Compost
Vegetable Plant,Balcony,Low,Sandy,Medium,62,38,39,6.1,Balanced NPK
Leafy Ornamental,Outdoor Garden,Low,Potting Mix,Medium,48,22,66,7.2,Phosphorus Rich
Vegetable Plant,Outdoor Garden,Medium,Sandy,Low,62,60,45,5.9,Balanced NPK
Leafy Ornamental,Rooftop,Low,Loamy,High,63,70,48,5.1,Nitrogen Rich
Indoor Plant,Rooftop,High,Clay,Medium,44,80,56,5.1,Liquid Fertilizer
Flower Plant,Outdoor Garden,Medium,Clay,Medium,68,24,56,5.3,Phosphorus Rich
Vegetable Plant,Outdoor Garden,Medium,Clay,Low,27,21,67,5.5,Nitrogen Rich
Succulent,Outdoor Garden,High,Sandy,Medium,69,36,65,6.1,Compost
Succulent,Balcony,High,Potting Mix,Low,27,28,74,5.2,Nitrogen Rich
Flower Plant,Outdoor Garden,Low,Clay,High,42,65,24,6.4,Balanced NPK
Vegetable Plant,Balcony,Low,Loamy,Medium,52,34,27,7.5,Phosphorus Rich
Flower Plant,Rooftop,Medium,Sandy,Medium,55,56,43,6.2,Bone Meal
Succulent,Rooftop,High,Sandy,Low,39,45,65,6.8,Compost
Succulent,Outdoor Garden,Medium,Sandy,Low,40,61,24,6.1,Balanced NPK
Leafy Ornamental,Balcony,Low,Loamy,Low,47,52,78,7.2,Nitrogen Rich
Indoor Plant,Rooftop,Medium,Loamy,Low,40,79,65,5.6,Liquid Fertilizer
Succulent,Balcony,Low,Clay,Low,60,55,37,5.3,Compost
Vegetable Plant,Indoor,High,Loamy,High,80,57,29,5.4,Balanced NPK
Succulent,Balcony,High,Sandy,Low,25,22,80,6.6,Nitrogen Rich
Succulent,Balcony,High,Loamy,High,46,59,60,5.1,Compost
Leafy Ornamental,Balcony,High,Clay,Medium,35,71,71,6.7,Nitrogen Rich
Vegetable Plant,Outdoor Garden,Low,Sandy,Low,48,46,50,6.2,Balanced NPK
Vegetable Plant,Rooftop,Medium,Clay,High,75,42,45,5.3,Vermicompost
Vegetable Plant,Indoor,Medium,Loamy,Medium,27,37,48,5.6,Nitrogen Rich
Indoor Plant,Indoor,Medium,Potting Mix,High,46,35,75,7.3,Liquid Fertilizer
Vegetable Plant,Balcony,Low,Loamy,Medium,52,49,51,7.2,Balanced NPK
Herb,Indoor,Low,Potting Mix,High,49,35,33,6.5,Balanced NPK
Indoor Plant,Indoor,Medium,Potting Mix,High,76,73,61,6.7,Liquid Fertilizer
Vegetable Plant,Indoor,Low,Potting Mix,Low,76,36,66,5.9,Balanced NPK
Herb,Balcony,Low,Potting Mix,Low,56,55,32,5.9,Balanced NPK
Vegetable Plant,Indoor,Medium,Potting Mix,High,37,72,59,6.7,Balanced NPK
Indoor Plant,Rooftop,Low,Potting Mix,Medium,70,41,55,7.3,Liquid Fertilizer
Flower Plant,Rooftop,High,Potting Mix,High,22,22,22,5.3,Nitrogen Rich
Vegetable Plant,Outdoor Garden,High,Potting Mix,Low,58,77,52,5.3,Vermicompost
Succulent,Balcony,Low,Potting Mix,High,67,73,39,6.5,Compost
Succulent,Outdoor Garden,High,Clay,Medium,72,21,43,5.8,Phosphorus Rich
Indoor Plant,Outdoor Garden,High,Clay,High,75,64,60,5.1,Liquid Fertilizer
Herb,Balcony,High,Loamy,High,23,57,50,5.4,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,Low,Loamy,Low,56,80,64,5.3,Nitrogen Rich
Indoor Plant,Outdoor Garden,Medium,Potting Mix,Low,46,64,33,6.0,Balanced NPK
Succulent,Outdoor Garden,High,Sandy,High,28,53,33,6.4,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,High,Potting Mix,Medium,31,49,78,6.3,Nitrogen Rich
Succulent,Balcony,High,Clay,High,50,32,35,5.7,Phosphorus Rich
Vegetable Plant,Rooftop,Medium,Clay,High,33,64,65,6.2,Nitrogen Rich
Herb,Balcony,High,Clay,Medium,27,56,63,6.4,Nitrogen Rich
Herb,Balcony,Low,Clay,Low,38,65,25,5.9,Balanced NPK
Herb,Balcony,High,Potting Mix,Low,32,72,54,5.7,Nitrogen Rich
Succulent,Balcony,Low,Sandy,High,67,57,35,5.6,Compost
Leafy Ornamental,Rooftop,High,Loamy,Low,26,46,41,6.8,Nitrogen Rich
Indoor Plant,Rooftop,Low,Loamy,Medium,61,79,76,7.2,Liquid Fertilizer
Herb,Rooftop,Medium,Clay,Medium,61,23,78,6.9,Phosphorus Rich
Leafy Ornamental,Rooftop,High,Sandy,Low,46,76,73,5.4,Nitrogen Rich
Indoor Plant,Outdoor Garden,Medium,Loamy,High,75,79,38,7.2,Liquid Fertilizer
Indoor Plant,Balcony,High,Sandy,Medium,38,49,61,6.4,Liquid Fertilizer
Herb,Rooftop,High,Potting Mix,Medium,32,71,27,5.8,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,High,Clay,High,31,20,67,5.8,Nitrogen Rich
Vegetable Plant,Rooftop,Low,Potting Mix,Medium,52,40,25,6.0,Balanced NPK
Indoor Plant,Rooftop,Low,Potting Mix,Medium,79,35,20,5.7,Balanced NPK
Flower Plant,Outdoor Garden,Medium,Clay,Medium,57,66,56,5.0,Bone Meal
Leafy Ornamental,Balcony,High,Loamy,Low,62,27,49,5.8,Phosphorus Rich
Herb,Balcony,High,Sandy,High,78,80,38,5.9,Nitrogen Rich
Flower Plant,Rooftop,Low,Potting Mix,Low,49,67,58,5.9,Bone Meal
Leafy Ornamental,Outdoor Garden,High,Loamy,Low,63,68,58,7.2,Nitrogen Rich
Indoor Plant,Outdoor Garden,High,Clay,Low,78,56,27,5.2,Balanced NPK
Succulent,Rooftop,High,Loamy,Low,40,74,53,6.1,Compost
Leafy Ornamental,Rooftop,High,Potting Mix,Low,77,52,48,7.0,Nitrogen Rich
Herb,Rooftop,High,Potting Mix,Medium,56,23,55,6.2,Phosphorus Rich
Vegetable Plant,Indoor,Medium,Clay,Low,67,33,57,5.2,Phosphorus Rich
Herb,Balcony,High,Sandy,High,23,79,77,5.2,Nitrogen Rich
Herb,Indoor,Medium,Potting Mix,Low,69,28,69,6.6,Phosphorus Rich
Leafy Ornamental,Outdoor Garden,Medium,Potting Mix,Medium,75,78,78,5.9,Nitrogen Rich
Indoor Plant,Rooftop,High,Clay,Low,31,54,45,6.3,Nitrogen Rich
Leafy Ornamental,Rooftop,Low,Sandy,Medium,49,63,66,6.4,Nitrogen Rich
Succulent,Outdoor Garden,Low,Loamy,Medium,42,29,37,5.5,Phosphorus Rich
Leafy Ornamental,Indoor,Low,Potting Mix,High,69,79,76,7.2,Nitrogen Rich
Flower Plant,Rooftop,Low,Sandy,High,22,48,58,6.7,Nitrogen Rich
Indoor Plant,Rooftop,High,Sandy,Medium,48,34,54,5.5,Phosphorus Rich
Indoor Plant,Rooftop,High,Clay,Low,72,78,66,6.4,Liquid Fertilizer
Succulent,Balcony,Low,Clay,Low,62,53,34,6.0,Balanced NPK
Vegetable Plant,Indoor,High,Loamy,High,63,47,55,6.2,Balanced NPK
Vegetable Plant,Outdoor Garden,High,Clay,High,46,46,29,5.7,Balanced NPK
Flower Plant,Outdoor Garden,Low,Loamy,Medium,74,65,29,7.0,Balanced NPK
Indoor Plant,Outdoor Garden,Medium,Loamy,Medium,35,36,33,5.8,Balanced NPK
Indoor Plant,Outdoor Garden,Medium,Sandy,High,66,73,32,5.1,Balanced NPK
Herb,Indoor,Low,Loamy,High,66,62,55,5.5,Nitrogen Rich
Flower Plant,Balcony,Medium,Sandy,Low,79,32,67,5.3,Phosphorus Rich
Herb,Rooftop,High,Loamy,Medium,78,35,55,5.8,Nitrogen Rich
Vegetable Plant,Outdoor Garden,Medium,Clay,Medium,36,43,52,7.2,Balanced NPK
Herb,Indoor,High,Potting Mix,Medium,78,33,43,5.8,Phosphorus Rich
Indoor Plant,Rooftop,High,Loamy,Low,36,55,79,6.5,Liquid Fertilizer
Leafy Ornamental,Outdoor Garden,Medium,Loamy,Low,41,34,44,6.4,Phosphorus Rich
